filename,taint result,taint failure reason,is vulnerability,applicable for utbot,not applicability reason,System,`while` cycle,`for` cycle,URLDecoder,Cookie,Runtime,Process,ProcessBuilder,Enumeration,ESAPI,SeparateClassRequest,OWASP Utils,Base64,StringBuilder
BenchmarkTest00006,FALSE,addition of a tainted value to a list does not taint the list,TRUE,TRUE,"",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00007,FALSE,creation of an array with a tainted value does not taint the array,TRUE,TRUE,"",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00015,FALSE,addition of a tainted value to a list does not taint the list,TRUE,TRUE,"",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00017,TRUE,"",TRUE,TRUE,"",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00051,FALSE,?,FALSE,TRUE,"",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
BenchmarkTest00077,FALSE,usage of an array as a source return does not make the array tainted,TRUE,TRUE,"",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00090,FALSE,usage of an array as a source return does not make the array tainted,FALSE,TRUE,"",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00091,FALSE,usage of an array as a source return does not make the array tainted,TRUE,TRUE,"",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00092,FALSE,usage of an array as a source return does not make the array tainted,TRUE,TRUE,"",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00093,FALSE,usage of an array as a source return does not make the array tainted,FALSE,TRUE,"",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00158,FALSE,addition of a tainted value to a list does not taint the list,FALSE,TRUE,"",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00159,FALSE,creation of an array with a tainted value does not taint the array,TRUE,FALSE,reflection,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00171,FALSE,addition of tainted data to a map does not taint the map,FALSE,TRUE,"",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00172,FALSE,addition of tainted data to a map does not taint the map,TRUE,TRUE,"",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00173,FALSE,addition of tainted data to a map does not taint the map,TRUE,TRUE,"",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00174,FALSE,creation of an array with a tainted value does not taint the array,TRUE,FALSE,reflection,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00175,FALSE,addition of tainted data to a map does not taint the map,FALSE,TRUE,"",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00176,TRUE,"",TRUE,TRUE,"",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00177,TRUE,does not rely on actual results of int calculations - overapproximation,FALSE,TRUE,"",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00293,FALSE,string decoding operations,TRUE,UNSURE,org.apache.commons.codec.binary.Base64 no class def + utbot fails on this example,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
BenchmarkTest00294,FALSE,addition of a tainted value to a list does not taint the list,TRUE,TRUE,"",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00295,FALSE,creation of an array with a tainted value does not taint the array,TRUE,TRUE,"",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00302,TRUE,"",TRUE,TRUE,"",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00303,FALSE,string decoding operations,TRUE,UNSURE,org.apache.commons.codec.binary.Base64 no class def + utbot fails on this example,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
BenchmarkTest00304,FALSE,addition of tainted data into a list does not taint the list,TRUE,TRUE,"",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00305,FALSE,difficult dataflow,FALSE,FALSE,org.apache.commons.codec.binary.Base64 no class def + utbot fails on this example + reflection,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
BenchmarkTest00306,FALSE,creation of an array with a tainted value does not taint the array,TRUE,TRUE,"",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00307,FALSE,addition of tainted data into a list does not taint the list,FALSE,TRUE,"",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00308,TRUE,does not rely on actual results of int calculations - overapproximation,FALSE,TRUE,"",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00309,FALSE,addition of tainted data to a map does not taint the map,FALSE,TRUE,"",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00310,TRUE,does not rely on the actual value that is picked via charAt(idx) - overapproximation,FALSE,TRUE,"",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00311,FALSE,creation of an array with a tainted value does not taint the array,TRUE,TRUE,"",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00396,FALSE,creation of an array with a tainted value does not taint the array,FALSE,TRUE,"",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00406,FALSE,creation of an array with a tainted value does not taint the array,FALSE,TRUE,"",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00407,FALSE,addition of tainted data into a list does not taint the list,TRUE,TRUE,"",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00408,FALSE,creation of an array with a tainted value does not taint the array,FALSE,TRUE,"",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00409,FALSE,creation of an array with a tainted value does not taint the array,TRUE,TRUE,"",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00410,FALSE,addition of tainted data to a map does not taint the map,FALSE,TRUE,"",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00411,FALSE,difficult dataflow,FALSE,FALSE,org.apache.commons.codec.binary.Base64 no class def + utbot fails on this example + reflection,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
BenchmarkTest00412,FALSE,addition of tainted data into a list does not taint the list,FALSE,TRUE,"",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00480,FALSE,data access from a tainted array does not make data tainted,TRUE,TRUE,"",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00481,FALSE,data access from a tainted array does not make data tainted,FALSE,TRUE,"",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00494,FALSE,data access from a tainted array does not make data tainted,FALSE,TRUE,"",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00495,FALSE,data access from a tainted array does not make data tainted,TRUE,TRUE,"",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00496,FALSE,data access from a tainted array does not make data tainted,TRUE,UNSURE,org.apache.commons.codec.binary.Base64 no class def + utbot fails on this example,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
BenchmarkTest00497,FALSE,data access from a tainted array does not make data tainted,TRUE,TRUE,"",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00498,FALSE,data access from a tainted array does not make data tainted,TRUE,UNSURE,org.apache.commons.codec.binary.Base64 no class def + utbot fails on this example,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
BenchmarkTest00499,FALSE,data access from a tainted array does not make data tainted,TRUE,TRUE,"",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00500,FALSE,data access from a tainted array does not make data tainted,TRUE,TRUE,"",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00558,FALSE,usage of an array as a source return does not make the array tainted,FALSE,TRUE,"",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00559,FALSE,usage of an array as a source return does not make the array tainted,FALSE,FALSE,org.apache.commons.codec.binary.Base64 no class def + utbot fails on this example + reflection,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
BenchmarkTest00567,FALSE,usage of an array as a source return does not make the array tainted,TRUE,UNSURE,org.apache.commons.codec.binary.Base64 no class def + utbot fails on this example,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
BenchmarkTest00568,FALSE,usage of an array as a source return does not make the array tainted,TRUE,FALSE,reflection,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00569,FALSE,usage of an array as a source return does not make the array tainted,FALSE,FALSE,org.apache.commons.codec.binary.Base64 no class def + utbot fails on this example + reflection,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
BenchmarkTest00570,FALSE,usage of an array as a source return does not make the array tainted,FALSE,TRUE,"",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00571,FALSE,usage of an array as a source return does not make the array tainted,FALSE,TRUE,"",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00572,FALSE,usage of an array as a source return does not make the array tainted,FALSE,TRUE,"",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00573,FALSE,usage of an array as a source return does not make the array tainted,TRUE,TRUE,"",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00574,FALSE,usage of an array as a source return does not make the array tainted,TRUE,TRUE,"",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00575,FALSE,usage of an array as a source return does not make the array tainted,TRUE,TRUE,"",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00576,FALSE,usage of an array as a source return does not make the array tainted,TRUE,FALSE,reflection,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00657,FALSE,addition of tainted data to a map does not taint the map,FALSE,TRUE,"",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
BenchmarkTest00658,TRUE,does not rely on actual results of int calculations - overapproximation,FALSE,TRUE,"",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
BenchmarkTest00659,TRUE,does not rely on the actual value that is picked via charAt(idx) - overapproximation,FALSE,TRUE,"",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
BenchmarkTest00731,FALSE,usage of an array as a source return does not make the array tainted,TRUE,TRUE,"",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00732,FALSE,usage of an array as a source return does not make the array tainted,FALSE,TRUE,"",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00738,FALSE,usage of an array as a source return does not make the array tainted,FALSE,TRUE,"",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00739,FALSE,usage of an array as a source return does not make the array tainted,FALSE,TRUE,"",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00740,FALSE,usage of an array as a source return does not make the array tainted,TRUE,TRUE,"",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00741,FALSE,usage of an array as a source return does not make the array tainted,FALSE,TRUE,"",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00742,FALSE,usage of an array as a source return does not make the array tainted,FALSE,TRUE,"",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00743,FALSE,usage of an array as a source return does not make the array tainted,FALSE,TRUE,"",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00814,FALSE,addition of a tainted value to a list does not taint the list,FALSE,FALSE,difficult string manipulation + org.apache.commons.codec.binary.Base64 no class def,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00815,FALSE,creation of an array with a tainted value does not taint the array,TRUE,FALSE,difficult string manipulation + org.apache.commons.codec.binary.Base64 no class def,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00816,FALSE,addition of tainted data to a map does not taint the map,TRUE,FALSE,difficult string manipulation + org.apache.commons.codec.binary.Base64 no class def,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00823,FALSE,addition of tainted data into a list does not taint the list,TRUE,FALSE,difficult string manipulation + org.apache.commons.codec.binary.Base64 no class def,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00824,FALSE,addition of tainted data to a map does not taint the map,TRUE,FALSE,difficult string manipulation + org.apache.commons.codec.binary.Base64 no class def,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00825,FALSE,creation of an array with a tainted value does not taint the array,TRUE,FALSE,difficult string manipulation + reflection,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00826,TRUE,does not rely on actual results of int calculations - overapproximation,FALSE,FALSE,difficult string manipulation + org.apache.commons.codec.binary.Base64 no class def,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00827,FALSE,addition of tainted data into a list does not taint the list,FALSE,FALSE,difficult string manipulation + org.apache.commons.codec.binary.Base64 no class def,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
BenchmarkTest00895,FALSE,addition of tainted data into a list does not taint the list,FALSE,TRUE,"",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
BenchmarkTest00896,FALSE,addition of a tainted value to a list does not taint the list,FALSE,TRUE,"",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
BenchmarkTest00897,FALSE,creation of an array with a tainted value does not taint the array,FALSE,TRUE,"",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
